Surname,First names,Title,List,Party,Organisation,Place,Position Title,Start Date,End Date
MATSEPE,CHOLOANE DAVID, Mr,LP,DA,National Assembly,Limpopo,Member,2014-05-21,future
MATSHOBA,MANDISA OCTOVIA, Ms,WC,ANC,National Assembly,Western Cape,Member,2014-05-21,future
MATSHOBENI,ASANDA, Ms,EC,EFF,National Assembly,Eastern Cape,Member,2014-05-21,future
MATSIMBI,CATHRINE, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
MAVUNDA,RISIMATI THOMPSON, Mr,LP,ANC,National Assembly,Limpopo,Member,2014-05-21,future
MAXEGWANA,COMELY HUMPHREY MAQOCWA, Mr,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
MAXON,HLENGIWE OCTAVIA, Ms,National,EFF,National Assembly,,Member,2014-05-21,future
MAYNIER,DAVID JOHN, Mr,National,DA,National Assembly,,Member,2014-05-21,future
MBALULA,FIKILE APRIL, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
Mbatha,Moses Sipho,Mr,GP,EFF,National Assembly,Gauteng,Member,2014-05-21,future
MBETE,BALEKA, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
MBHELE,ZAKHELE NJABULO, Mr,WC,DA,National Assembly,Western Cape,Member,2014-05-21,future
MC GLUWA,JOSEPH JOB, Mr,National,DA,National Assembly,,Member,2014-05-21,future
MCHUNU,SIBONGILE, Mr,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
MCLOUGHLIN,ALAN ROSS, Mr,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
MDAKA,NOMAKHAYA MAVIS, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
MDAKANE,MZAMENI RICHARD, Mr,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
MEMELA,THANDI CECILIA, Ms,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
MESHOE,KENNETH RASELABE JOSEPH, Rev,National,ACDP,National Assembly,,Member,2014-05-21,future
MFEKETO,NOMAINDIYA CATHLEEN, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
MHLONGO,TSEPO WINSTON, Mr,GP,DA,National Assembly,Gauteng,Member,2014-05-21,future
MICHAEL,NATASHA WENDY ANITA, Ms,National,DA,National Assembly,,Member,2014-05-21,future
MILEHAM,KEVIN JOHN, Mr,National,DA,National Assembly,,Member,2014-05-21,future
MJOBO,LINDIWE NTOMBIKAYISE, Ms,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
MKONGI,BONGANI MICHAEL, Mr,WC,ANC,National Assembly,Western Cape,Member,2014-05-21,future
MMEMEZI,HUMPHREY MDUMZELI ZONDELELE, Mr,National,ANC,National Assembly,,Member,2014-05-21,future
MMUSI,SAMUEL GAAESI, Mr,NW,ANC,National Assembly,North West,Member,2014-05-21,future
MNCWABE,SIBUSISO CHRISTOPHER, Mr,National,NFP,National Assembly,,Member,2014-05-21,future
MNCWANGO,MANGAQA ALBERT, Mr,KZN,IFP,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
Mnganga - Gcabashe,Lungi Annette, Ms,KZN,ANC,National Assembly,KwaZulu-Natal,Member,2014-05-21,future
MNGUNI,PUMZILE JUSTICE, Mr,EC,ANC,National Assembly,Eastern Cape,Member,2014-05-21,future
MNGUNI,DERICK, Mr,MP,ANC,National Assembly,Mpumalanga,Member,2014-05-21,future
MNGXITAM,JOHN ANDILE, Mr,National,EFF,National Assembly,,Member,2014-05-21,future
MNISI,NOKHAYA ADELAIDE, Ms,MP,ANC,National Assembly,Mpumalanga,Member,2014-05-21,future
MOGOTSI,VELHELMINA PULANI, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
MOKGALAPA,STEVENS, Mr,National,DA,National Assembly,,Member,2014-05-21,future
MOKOTO,NTHIBANE REBECCA, Ms,NW,ANC,National Assembly,North West,Member,2014-05-21,future
MOLEBATSI,MAAPI ANGELINA, Ms,GP,ANC,National Assembly,Gauteng,Member,2014-05-21,future
MOLEWA,BOMO EDNA EDITH, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
MOLOI-MOROPA,JOYCE CLEMENTINE, Ms,National,ANC,National Assembly,,Member,2014-05-21,future
