Party,List,Rank,Name,Surname,Organisation,Position Title,Start Date,End Date,Place Name
ECONOMIC FREEDOM FIGHTERS,Provincial: Limpopo,5,MEISIE,KENNEDY,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
ECONOMIC FREEDOM FIGHTERS,Provincial: Limpopo,6,MATOME ERIC,MACHAKA,Limpopo Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Limpopo
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,1,DAVID DABEDE,MABUZA,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,2,BOY DAVID,DUBE,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,3,MZIKAYIFANI ANDRIAS,GAMEDE,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,4,VUSUMUZI ROBERT,SHONGWE,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,5,MAKGABO REGINAH,MHAULE,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,6,VIOLET SIZANI,SIWELA,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,7,BLESSING THANDI,SHONGWE,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,8,SIKHUMBUZO ERIC,KHOLWANE,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,9,NOMSA SANNY,MTSWENI,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,10,NORAH,MAHLANGU,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,11,PIET SIMON,SKHOSANA,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,12,REFILWE MARIA,MTSHWENI,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,13,VICTOR VUSUMUZI ZIBUTHE,WINDVO�L,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,14,BASANI VIOLET,NKUNA,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,15,PETRUS SIMON,NGOMANA,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,16,JEANETH LIZZY,NGHONDZWENI,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,17,JOHANNE MUSA,MKHATSHWA,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,18,PATRICIA,NGOBENI,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,19,GILLION PUDUMO,MASHEGO,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,20,CYNTHIA GABSILE,SHABALALA,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,21,SIBUSISO INNOCENT,MALAZA,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,22,DUMISILE GOODNESS,NHLENGETHWA,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,23,WILLIAM THULARE,MADILENG,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: Mpumalanga,24,RHODA SAZI,MATHABE,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
BUSHBUCKRIDGE RESIDENTS ASSOCIATION,Provincial: Mpumalanga,1,CLEOPAS,MAUNYE,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
DEMOCRATIC ALLIANCE,Provincial: Mpumalanga,1,ANTHONY MAXIMILIAN,BENADIE,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
DEMOCRATIC ALLIANCE,Provincial: Mpumalanga,2,RAESETJA JANE,SITHOLE,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
DEMOCRATIC ALLIANCE,Provincial: Mpumalanga,3,BOSMAN,GROBLER,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
ECONOMIC FREEDOM FIGHTERS,Provincial: Mpumalanga,1,MICHAEL COLLEN,SEDIBE,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
ECONOMIC FREEDOM FIGHTERS,Provincial: Mpumalanga,2,AYANDA CHARLOTTE,TSHABALALA,Mpumalanga Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Mpumalanga
AFRICAN NATIONAL CONGRESS,Provincial: North West,1,SUPRA OBAKENG RAMOELETSI,MAHUMAPELO,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,2,MOKONE COLLEN,MAINE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,3,TEBOGO CONSTANCE,MODISE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,4,MAGOME ALBANOS,MASIKE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,5,THANDI RUTH,MODISE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,6,MOTHIBEDI GORDON,KEGAKILWE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,7,MMAPHEFO LUCY,MATSEMELA,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,8,MANKETSI MAMOABI EMILY,TLHAPE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,9,RAPHAEL LEROI,MAHLAKENG,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,10,WENDY JOY,NELSON,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,11,BOIKANYO RAYMOND,ELISHA,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,12,SUSSANA REBECCA,TSEBE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,13,SEBONTA FRANCINAH DESBO,MOHONO,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,14,PATRICK DUMILE NONO,MALOYI,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,15,NTEBALENG JEANNETE,NYATHI,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,16,MADODA,SAMBATHA,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,17,JANE,MANGANYE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,18,GOATLHOTSEMANG HOFFMAN,GALENG,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,19,BOITUMELO THEODORA,MOILOA,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,20,NDLELENI MOSES,DUMA,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,21,MOTLALEPULA ZIPHORA,ROSHO,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,22,GAOAGE OAGENG,MOLAPISI,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: North West,23,GALALETSANG FENNY,GAOLAOLWE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
DEMOCRATIC ALLIANCE,Provincial: North West,1,CHRISTIAN,HATTINGH,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
DEMOCRATIC ALLIANCE,Provincial: North West,2,TUTU LAWRENCE,FALENI,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
DEMOCRATIC ALLIANCE,Provincial: North West,3,JACQUELINE RACHELLE,THEOLOGO,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
DEMOCRATIC ALLIANCE,Provincial: North West,4,SELLO PETRUS,MOTSWENYANE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
ECONOMIC FREEDOM FIGHTERS,Provincial: North West,1,ALFRED NORMAN,MOTSI,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
ECONOMIC FREEDOM FIGHTERS,Provincial: North West,2,KEOBAKILE PHANUEL,BABUILE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
ECONOMIC FREEDOM FIGHTERS,Provincial: North West,3,NOMBONISO ANNIE,KLAAS-HARMAN,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
ECONOMIC FREEDOM FIGHTERS,Provincial: North West,4,JOHANNES BILLYBOY,MASHIFANE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
ECONOMIC FREEDOM FIGHTERS,Provincial: North West,5,BETTY KEDISALETSE,DIALE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
VRYHEIDSFRONT PLUS,Provincial: North West,1,JOHANNES FRANCOIS,SCHUTTE,North West Provincial Legislature,Member-elect,2014-05-16,2014-05-21,North West
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,1,MOSIMANEGARE KENNETH,MMOIEMANG,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,2,JOHN,BLOCK,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,3,SYLVIA ELIZABETH,LUCAS,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,4,ALVIN,BOTES,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,5,GOTHATAMANG NORMAN JONATHAN,SHUSHU,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,6,CUKELWA MAGDELINE,CHOTELO,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,7,GRIZELDA BONIWE,CJIEKELLA-LECHOLO,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,8,GAIL DENISE,PARKER,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,9,MXOLISA SIMON,SOKATSHA,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,10,MARTHA,BARTLETT,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,11,DAWID,ROOI,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,12,JOHANNA TEBIETA,BEUKES,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,13,MARUPING MATTHEWS,LEKWENE,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,14,BONGIWE PRICILLA,MBINQO-GIGABA                                ,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,15,ISAAC THAPELO,DITHEBE,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,16,FUFE BOHUTSANA PROVIDENCE,MAKATONG,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,17,MC COLLEN NTSIKELELO,JACK,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,18,ALEXANDRA JENNIFER,BEUKES,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,19,LEBOGANG JAMES,MOTLHAPING,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN NATIONAL CONGRESS,Provincial: Northern Cape,20,GOGANAMANG GLADYS,OLIPHANT,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
CONGRESS  OF THE PEOPLE,Provincial: Northern Cape,1,OUNEAS,DIKGETSI,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
DEMOCRATIC ALLIANCE,Provincial: Northern Cape,1,ANDREW,LOUW,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
DEMOCRATIC ALLIANCE,Provincial: Northern Cape,2,HAROLD,MC GLUWA,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
DEMOCRATIC ALLIANCE,Provincial: Northern Cape,3,BOITUMELO MAXWELL,BABUSENG,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
DEMOCRATIC ALLIANCE,Provincial: Northern Cape,4,SAFIYIA HAJEERA,STANFLEY,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
DEMOCRATIC ALLIANCE,Provincial: Northern Cape,5,PULE ISAAC,THOLE,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
DEMOCRATIC ALLIANCE,Provincial: Northern Cape,6,ISMAIL,OBARAY,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
DEMOCRATIC ALLIANCE,Provincial: Northern Cape,7,ISAK CORNELIUS CHRISTIAAN,FRITZ,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
ECONOMIC FREEDOM FIGHTERS,Provincial: Northern Cape,1,NEVIE AUBREY,BAARTMAN,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
ECONOMIC FREEDOM FIGHTERS,Provincial: Northern Cape,2,MMABATHO OLIVE,MOKAUSE,Northern Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Northern Cape
AFRICAN CHRISTIAN DEMOCRATIC PARTY,Provincial: Western Cape,1,FERLON CHARLES,CHRISTIANS,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,1,MARIUS LLEWELLYN,FRANSMAN,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,2,KHAYALETHU ELVIS,MAGAXA,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,3,CAMERON MUIR,DUGMORE,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,4,QUBUDILE RICHARD,DYANTYI,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,5,SHARON WINONA,DAVIDS,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,6,CAROL FRANCES,BEERWINKEL,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,7,Pierré,Uys,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,8,MAURENCIA NATALIE,GILLION,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,9,SIYAZI GRATEFULL,TYATYAM,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,10,ROLAND THEO,OLIVIER,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,11,PHOLISA,MAKELENI,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,12,DOROTHEA,GOPIE,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,13,PATRONELLA ZINGISA,LEKKER,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Provincial: Western Cape,14,TRUDY MALEFE,DIJANA,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,1,OTTA HELENE,MAREE,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,2,IVAN HENRY,MEYER,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,3,THEUNIS LOUIS,BOTHA,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,4,ANTON WILHELM,BREDELL,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,5,BONGINKOSI SUCCESS,MADIKIZELA,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,6,BASIL DAVID,KIVEDO,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,7,DONALD ARTHUR CARDROSS,GRANT,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,8,NOMAFRENCH,MBOMBO,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,9,ALBERT THEO,FRITZ,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,10,MARK GEOFFRY EDINGTON,WILEY,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,11,SHARNA GAIL,FERNANDEZ,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,12,ALAN RICHARD,WINDE,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,13,RICARDO DENVER,MACKENZIE,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,14,ANROUX JOHANNA DU TOIT,MARAIS,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,15,Deborah Anne,Schäfer,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,16,LORRAINE JULIETTE,BOTHA,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,17,MIREILLE MARY,WENGER,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,18,LENNIT HENDRY,MAX,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,19,NCEBA EPHRAIM,HINANA,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,20,MASIZOLE,MNQASELA,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,21,BEVERLEY ANN,SCHAFER,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,22,GESINA MARIA MAGDALENA,VAN DEVENTER,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,23,DENIS,JOSEPH,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,24,DANIEL,PLATO,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,25,PETRUS JOHANNES CHRISTIAAN,PRETORIUS,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Provincial: Western Cape,26,RODNEY BENJAMIN,LENTIT,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
ECONOMIC FREEDOM FIGHTERS,Provincial: Western Cape,1,MOGAMAD NAZIER,PAULSEN,Western Cape Provincial Legislature,Member-elect,2014-05-16,2014-05-21,Western Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,1,MARY-ANN LINDELWA,DUNJWA,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,2,FEZILE,BHENGU,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,3,CEDRIC THOMAS,FROLICK,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,4,MCEBISI HUBERT,JONAS,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,5,ZUKISA CHERYL,FAKU,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,6,PRISCILLA TOZAMA,MANTASHE,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,7,STELLA TEMBISA,NDABENI-ABRAHAMS,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,8,TANDIWE ELIZABETH,KENYE,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,9,DAPHNE ZUKISWA,RANTHO,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,10,COMELY HUMPHREY MAQOCWA,MAXEGWANA,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,11,FEZEKA SISTER,LOLIWE,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,12,BONISILE ALFRED,NESI,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,13,HOPE HELENE,MALGAS,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,14,PUMZILE JUSTICE,MNGUNI,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,15,SHEILLA TEMBALAM,XEGO-SOVITA,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,16,NDUMISO,CAPA,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,17,NOKUZOLA,NDONGENI,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
AFRICAN NATIONAL CONGRESS,Regional: Eastern Cape,18,ZUKILE,LUYENGE,National Assembly,Member-elect,2014-05-16,2014-05-21,Eastern Cape
