County Code,,County,,,,,Const. Code,,,Constituency,,,,Full Names A,,,,,Full Names B,,,,,Party/Independent Candidate
38,,Vihiga,,,,,211,,,Vihiga,,,,Yusuf Kifuma,,,,,Chanzu,,,,,United Democratic Forum Party
38,,Vihiga,,,,,212,,,Sabatia,,,,Alfred Agoi,,,,,Masadia,,,,,United Democratic Forum Party
38,,Vihiga,,,,,213,,,Hamisi,,,,Charles Gumini,,,,,Gimose,,,,,Federal Party of Kenya
38,,Vihiga,,,,,214,,,Luanda,,,,Christopher,,,,,Omulele,,,,,Orange Democratic Movement
38,,Vihiga,,,,,215,,,Emuhaya,,,,Wilber Khasilwa,,,,,Ottichilo,,,,,Orange Democratic Movement
39,,Bungoma,,,,,216,,,Mt. Elgon,,,,John Bomett,,,,,Serut,,,,,Independent Candidate
39,,Bungoma,,,,,217,,,Sirisia,,,,John Waluke,,,,,Koyi,,,,,Orange Democratic Movement
39,,Bungoma,,,,,218,,,Kabuchai,,,,James Lusweti,,,,,Mukwe,,,,,Forum For Restoration of Democracy-Kenya
39,,Bungoma,,,,,219,,,Bumula,,,,Bonface Okhiya,,,,,Otsiula,,,,,New Ford Kenya
39,,Bungoma,,,,,220,,,Kanduyi,,,,Athanas M Wafula,,,,,Wamunyinyi,,,,,Forum For Restoration of Democracy-Kenya
39,,Bungoma,,,,,221,,,Webuye East,,,,Bernard Alfred Wekesa,,,,,Sambu,,,,,United Democratic Forum Party
39,,Bungoma,,,,,222,,,Webuye West,,,,Daniel Wanyama,,,,,Sitati,,,,,New Ford Kenya
39,,Bungoma,,,,,223,,,Kimilili,,,,Suleiman Murunga,,,,,Kasuti,,,,,Forum For Restoration of Democracy-Kenya
39,,Bungoma,,,,,224,,,Tongaren,,,,David Eseli,,,,,Simiyu,,,,,Forum For Restoration of Democracy-Kenya
40,,Busia,,,,,225,,,Teso North,,,,Arthur Papa,,,,,Odera,,,,,United Republican Party
40,,Busia,,,,,226,,,Teso South,,,,Mary Emaase,,,,,Otuch,,,,,United Republican Party
40,,Busia,,,,,227,,,Nambale,,,,Sakwa John,,,,,Bunyasi,,,,,United Democratic Forum Party
40,,Busia,,,,,228,,,Matayos,,,,Geoffrey Makokha,,,,,Odanga,,,,,Orange Democratic Movement
40,,Busia,,,,,229,,,Butula,,,,Michael Aringo,,,,,Onyura,,,,,Federal Party of Kenya
40,,Busia,,,,,230,,,Funyula,,,,Otuoma Paul,,,,,Nyongesa,,,,,Orange Democratic Movement
40,,Busia,,,,,231,,,Budalangi,,,,Pius Namwamba,,,,,Ababu,,,,,Orange Democratic Movement
41,,Siaya,,,,,232,,,Ugenya,,,,David Ouma,,,,,Ochieng',,,,,Orange Democratic Movement
41,,Siaya,,,,,233,,,Ugunja,,,,James Opiyo,,,,,Wandayi,,,,,Orange Democratic Movement
