current_name,correct_name,lga_areas
Kontagora/Wushishi/Mariga/Mashegu,Kontagora / Wushishi / Mariga / Mashegu,"Kontogur, Wushishi, Mariga, Mashegu"
Zuru/Fakai/Sakaba/Danko-Wasagu,Zuru / Fakai / Sakaba / Danko-Wasagu,"Zuru, Fakai, Sakaba, Danko Wasagu"
KWARE/WAMMAKO,KWARE / WAMMAKO,"Kware, Wamakko"
MUNYA/RAFI/SHIRORO,MUNYA / RAFI / SHIRORO,"Muya, Rafi, Shiroro"
ILLELA/GWADABAWA,ILLELA / GWADABAWA,"Illela, Gwadabaw"
Bida Gbaka Paicho,Bida Gbaka Paicho,Bida Gbaka Paicho
Kiru/Bebeji,Kiru / Bebeji,"Kiru, Bebeji"
ADAVI/OKEHI,ADAVI / OKEHI,"Adavi, Okehi"
Tsanyawa/Kunchi,Tsanyawa / Kunchi,"Tsanyawa, Kunchi"
Bama / Ngala,Bama / Ngala,"Bama, Ngala"
Ikorodu,Ikorodu,Ikorodu
Ekiti North,Ekiti North,Ekiti North
Ogun Waterside/Ijebu North /East,Ogun Waterside / Ijebu North / East,"OgunWaterside, IjebuNorth, IjebuEast"
Ibadan Southwest/ Northwest,Ibadan Southwest / Northwest,"IbadanSouth-West, IbadanNorth-West"
Ibadan N.East / South East,Ibadan N.East / South East,"IbadanNorth-East, IbadanSouth-East"
Ekiti South West/IKERE/ISE -ORUN,Ekiti South West / IKERE / ISE -ORUN,"EkitiSouth-West, Ikere, Ise/Orun"
Etsako,Etsako,EtsakoEa
Mubi North / Mubi South / Maiha,Mubi North / Mubi South / Maiha,"Mubi North, Mubi South, Maiha"
Misau/ Dambam,Misau / Dambam,"Misau, Damban"
BIRNIWA/GURI/KIRIKASAMMA,BIRNIWA / GURI / KIRIKASAMMA,"Biriniwa, Guri, KiriKasa"
Shira/Giade,Shira / Giade,"Shira, Giade"
APA/AGATU,APA / AGATU,"Apa, Agatu"
Ifo / Ewekoro,Ifo / Ewekoro,"Ifo, Ewekoro"
Ile - Oluji/Okeigbo & Odigbo,Ile - Oluji / Okeigbo & Odigbo,"IleOluji/Okeigbo, Okeigbo & Odigbo"
Ibarapa East / Ido,Ibarapa East / Ido,"Ibarapa East, Ido"
Egbado North/Imeko Afon,Egbado North / Imeko Afon,"EgbadoNorth, Imeko-Afon"
Osun Central II (Odo-Otin / Ifelodun / Boripe,Osun Central II (Odo-Otin / Ifelodun / Boripe,"EsanCent, Odo0tin, Ifelodun, Boripe"
Irepo/Orelope/Olorunsogo,Irepo / Orelope / Olorunsogo,"Irepo, Orelope, Olorunsogo"
Karaye/Rogo,Karaye / Rogo,"Karaye, Rogo"
Kankia/Kusada/ Ingawa Federal Constituency,Kankia / Kusada / Ingawa Federal Constituency,"Kankiya, Kusada, Ingawa"
Mayo Belwa/Jada/Ganye/Toongo,Mayo Belwa / Jada / Ganye / Toongo,"Mayo-Bel, Jada, Ganye, Teungo"
Wase,Wase,Wase
Gurara/Suleja/Tafa,Gurara / Suleja / Tafa,"Gurara, Suleja, Tafa"
